sample,gt_idx,PartAI/Tooka-SBERT-V2-Large,intfloat/multilingual-e5-base,google/embeddinggemma-300m,xmanii/maux-gte-persian,sentence-transformers/LaBSE,BAAI/bge-m3,tooka-sbert-v2-large-finetuned
"سلام وقت بخیر  من میخوام افتتاح حساب کنم ولی تایید نمیشه خطا عدم تطبیق چهره با تصویر مرجع رو میده 
در حالی که خودمم و چهره دیگه‌ای نیست!",1,1,1,1,1,1,1,1
"سلام من کارت ملی ندارم
اما شناسنامه عکسدار و رسید کارت ملی دارم
برای بارگذاری عکس روی کارت ملی از صفحه اول شناسنامه و برای عکس پشت کارت ملی از رسید کارت ملی استفاده کردماما موردتایید نبود چه کار کنم؟؟؟؟",1,1,1,20,4,24,1,1
درود  وقت بخیر برای افتتاح حساب تو قسمت احراز هویت به مشکل خوردم برای عکس و احراز هویت روی فعالیت دوربین نمیره,1,1,1,1,1,1,1,1
"سلام عکس روی شناسنامه من بدون ریشه وای الان ریش دارم 
همش پیام تطابق تصویر میاد راه حل چیه",1,1,1,8,1,1,1,1
"سلام من بدا یز ثبت نام مشکل دارم من در بانک  بافندگی حساب دا ر م اون موقع عکس من بدون ریش بود
 الان بعد از فوت پدرم دیگه ریشم را نزدم الان قبول نمی کنه دست شما درد نکنه من منتظر جواب شما هستم",1,1,1,20,1,1,1,1
"سلام عکس روی کارت ملیم بدون سیبیل هست الان سیبیل دارم چرا تطبیق نمیده سامانه؟دوبار امتحان کردم این متنو میده 
ArmanBankعدم تایید افتتاح حساب دلیل: عدم تطبیق چهره با تصویر مرجع تاریخ و ساعت 22:25:10 1403/09/17",1,1,1,1,1,1,1,1
سلام خسته نباشیدبرای افتتاح حساب عکس کارت ملی وباچهره رومیگیرم میگه مطابقت نداره بایدچکارکنم واسه یه نفردیگه است,1,1,1,2,1,1,1,1
"سلام برای ثبت نام به مشگل عدم تطبیق چهر با کارت ملی خورده و میخواستم ببینم چجوری مشگل
 برطرف میشه من ۱۸سالکی ثبت نام کردم فرق داره واقعا",1,1,1,1,6,1,1,1
"سلام وقت بخیر
چجوری میتونم یک حساب جدید از طریق اپلیکشین باز کنمَ",2,2,2,3,2,3,2,2
"وقتی مجدد درخواست افتتاح حساب میزنم پیغام خطا میده و میگه قبلا با این شماره شخص دیگر
ی نسبت به افتتاح حساب اقدام نموده ،میشه راهنمایی کنید چطور افتتاح حساب کنم ؟",2,1,2,1,2,2,1,2
خب نمیشه کلا درخواست افتتاح حساب رو لغو کنید؟,3,2,2,2,2,3,3,2
سلام وقت بخیر بنده قبلا ثبت نام کردم ولی الان میزنه امکان لغو افتتاح وجود ندارد میده,3,1,20,8,24,20,2,1
"سلام وقت به خیر من درخواست افتتاح حساب ثبت کردم اما میخوام آدرس دریافت کارت رو تغییر بدم امکانش هست درخواست افتتاح حسابم رو لغو کنید تا بتونم درخواست جدید ثبت کنم؟
من انتظار داشتم آدرس دریافت کارت با آدرس محل سکونت متفاوت باشه اما اینطور نبود",3,1,2,2,20,15,20,5
سلام درخواست افتتاح حساب جدید دادم ولی منصرف شدم میخوام لغوش کنم چجوری میشه,3,20,2,2,3,3,20,2
"سلام وقت بخیر 
برای پرداخت قبض تلفن ثابت چطور بدون شناسه و تنها با شماره تلفن ثابت قبض رو پرداخت کنیم",4,4,4,4,4,8,4,4
سلام قبض عوارض شهرداری و جرایم رانندگی می‌خوام پرداخت کنم.,4,8,8,4,4,8,4,4
ممنون.امکانش هست بگین چه پرداخت‌هایی امکانش هست که پرداخت بشه,4,4,8,8,12,8,4,4
"با سلام وخسته نباشید 
برای کارت به کارت تایید نمیده میگه شماره موبایل تایید نشده چیکار کنم",5,5,5,8,5,5,20,5
سلام برای کارت به کارت میگه شماره تلفن مطابقت نداره,5,5,5,8,5,5,5,5
"سلام 
شماره همراهی که به بانک معرفی کرده بودن را اشتباه وارد کردم و در حال حاضر  برای ثبت نام خطای شماره همراه میده. لطفاً راهنمایی کنید چگونه شماره درست را جایگزین کنم",5,5,13,13,15,15,20,5
سلام چرانیمتونم کارت به کارت کنم رمزپویابرام نمیادمیزنه شماره مشتری تاییدنشده,5,5,5,8,5,5,15,14
سلام عزیز من میهوام پول انتقال بدم از برنامه به به کارت دیگه همون کارت به کارت کردن که مینویسه شماره مشتری تایید نشده است قضیه چیه,5,5,5,4,20,4,20,5
سلام وقت بخیر. میخام پول کارت ب کارت کنم مینویسه شماره تلفن مشتری را وارد کنید ینی چی,5,4,5,8,4,8,5,5
دوست عزیز کارت چن ماهه دستمه مشکل اینه موقع کارت ب کارت مینویسه شماره تلفن مشتری وارد کنید,5,5,5,8,20,5,5,5
سلام میخوام کارت به کارت کنم میزنه شماره مشتری تایید نشده رمز دوم نمیاد,5,5,5,8,5,24,20,5
"سلام لطفا ج بدید، چطوری میتونم بدون مراجعه ب بانک شماره موبایلم ثبت بشه.
 چون هیچکاری نمیتونم با این نرم افزار انجام بدم فقط میگ شماره ثبت نشده. اینجا ک شعبه نداره",5,5,2,20,5,8,2,5
چگونه شماره موبایل خود را تایید کنم,5,14,3,9,14,13,13,5
سلام کارت بانکی من مسدود شده فرمودید کارت مجدد درخواست بدم ولی پیام میاد که برای حساب شما کارت وجود دارد,6,6,20,14,6,20,6,6
سلام چطوری کارتم از مسدودی در بیارم,6,6,6,8,6,6,6,6
سلام چطوری کارتم از مسدودی در بیارم,6,6,6,8,6,6,6,6
سلام کارتم مسدود شده بخاطر رمز اشتباه زدن درخواست رفع مسدودی دارم ممنون,6,6,20,8,6,1,6,6
سلام وقت بخیر کارتم مسدود شده بخاطر وارد کردن رمز اشتباه متاسفانه در شهر ما شعبه بانک کارآفرین موجود نیست لطفا راهنمایی کنید جهت رفع مشکل. ممنون,6,5,20,8,6,1,7,6
"سلام 
رمز کارت را  از طریق تخصیص انتخاب کردم و چهار تا ۷ گذاشتم اما بانک برام یه رمز دیگه انتخاب کرده بود منم موقع خرید رمز چهار تا ۷ رو زدم ک چند بار تکرار کردم و کارت مسدود شده  درخواست رفع محدودیت دارم",6,15,6,14,6,14,6,15
سلام وقت بخیرکارت من به خاطر رمز اشتباه مسدود شده امکان فعالسازی از طریق اپلیکیشن هست؟,6,6,9,9,6,1,6,6
"سلام وقت بخیر
کارت من به خاطر رمز اشتباه مسدود شده
امکان فعالسازی از طریق اپلیکیشن هست؟",7,6,6,9,6,1,6,6
می خواهم کارتم را بسوزانم؟,7,7,7,8,7,7,7,7
چرا قسط از حسابم برداشت نمیشه که وامم تسویه بشه؟,8,8,8,4,20,3,20,8
سلام هرکاری میکنم پرداخت کنم قسطمو نمیاره بالا,8,8,8,4,8,8,20,8
درون برنامه هم پرداخت قسط رو میزنم ولی برداشت نمیکنه,8,8,20,4,20,20,20,16
سلام من چگونه میتوانم اقساط خود را پرداخت بکنم,8,8,8,4,4,8,8,8
برای پرداخت قسط کدون قسمت باید انجام بدیم؟,8,8,8,4,4,8,8,8
سلام وقت بخیر اقساط راچطوری پرداخت کنم من میزنم نمیشه,8,8,8,8,4,8,8,8
"سلام
خسته نباشید
میخواستم بدانم که پرداخت اقساط تسهیلات دریافتی ام از بانک آرمان را چگونه باید  آنلاین پرداخت کنم در اینترنت بانک ؟",8,8,8,4,4,8,8,8
دریافت رمز پویا,9,9,9,9,9,9,9,9
سلام لطفا بفرمایید رمز پویا رو چگونه فعال نمایم,9,9,9,9,9,9,9,9
"سلام وقت بخیر 
برای فعالسازی رمز دوم راهنمایی میفرمائید",9,9,9,9,9,9,9,9
سلام، فعال کردن رمز دوم خرید اینترنتی،,9,9,9,9,9,9,9,9
سلام رمز پویا برام پیامک نمیشه چطور میتونم فعال کنم ،باجه عابر بانک رفتم و هیچ شماره ای نتونستم ثبت کنم,9,5,9,9,9,9,9,9
"سلام وقت بخیر 
امتیاز وام من برای مبلغ ده ملیون میرسه ولی فقط پنج ملیون تومن واسم باز شده.",10,10,10,24,10,8,10,10
"سلام روزبخیر
من الان ۶ ماه هست که حساب کارافرین دارم، ولی باشگاه مشتریانم فعال نشده و امتیازی دریافت نکردم. چطور میتونم فعالش کنم؟ و وام پنج میلیونی ابتدایی رو بگیریم؟",10,10,10,10,10,10,10,10
چرا با اینکه امتیازم 2/800/000 بیشتر از پنج میلیون نمیتونم وام بردارم,10,10,10,23,10,10,10,10
